Nombre_Barrio;RATIO_AIRBNB_HECTAREA;PRECIO_M2;SUPERFCIE_M2;RATIO_PUERTA;RATIO_LOCAL_HECTAREA;TAM_HOGAR_MEDIO;RATIO_HOGARES_1PER;HIPOT_MEDIA;DENSIDAD_HAB;EDAD_PROMEDIO;EDAD_MEDIANA;PROPOR_DE_JUVENTUD;PROPOR_ENVEJECIMIENTO;PROPOR_DESOBREENVEJECIMIENTO;IND_ENVEJECIMIENTO;IND_JUVENTUD;IND_DEPENDENCIA;IND_ESTRUCTURA_POBLA_ACTIVA;IND_REEMPLAZO_POBLA_ACTIVA;RZ_PROGRESIVIDAD_DEMO;PROPOR_EXTRANJEROS;PROPOR_NACIDOS_FUERA_ESPAÑA;PROPOR_INMIG_EXTRANJ;TOTAL_COMPRAVENTA;SIN_ESTUDIOS;ESTUDIOS_SECUNDARIOS;ESTUDIOS_UNIVERSITARIOS
DELICIAS;1.21;3566;82.61;0.855;9.05;2.39;0.338;209692.97;258.5;42.64;42.51;14.95;16.68;35.77;111.55;89.64;46.28;79.57;55.61;109;10.67;18.12;7.31;454;0.115;0.428;0.457
CUATRO VIENTOS;0.24;1977;96.44;0.59;0.37;2.61;0.321;165422.99;10.07;34.94;37.79;23.7;6.51;24.44;27.47;364.04;43.29;85.69;116.34;112.56;5.58;10.94;3.47;34;0.106;0.526;0.368
CUATRO CAMINOS;1.06;3841;84.47;0.553;28.9;2.29;0.386;207319.69;286.39;45.91;44.58;10.99;23.06;38.01;209.73;47.68;51.63;95.53;43.26;117.08;13.8;22.54;10.2;575;0.105;0.402;0.493
COSTILLARES;0.2;3648;110.77;0.635;4.11;2.79;0.236;261702.33;153.73;43.21;44.72;16.75;20.71;26.61;123.59;80.92;59.9;73.78;89.36;86.49;4.79;10.01;2.36;148;0.061;0.325;0.614
CORTES;12.06;4842;91.92;0.692;29.85;1.95;0.499;248911.18;177.76;44.99;43.31;7.56;16.85;35.48;223.02;44.84;32.29;91.87;29.94;139.35;20.89;29.82;8.74;288;0.102;0.381;0.517
CORRALEJOS;0.01;2993;116.75;0.279;0.82;2.95;0.202;238743.11;15.74;36.6;40.62;26.93;10.05;31.71;37.33;267.88;58.7;51.76;141.41;75.94;6.55;11.25;2.25;72;0.072;0.319;0.609
CONCEPCIÓN;0.46;2448;64.86;0.823;17.19;2.29;0.369;140870.7;231.76;46.89;46.84;12.69;24.52;44.69;193.28;51.74;59.26;76.29;52.09;96.25;12.37;21.2;7.85;276;0.148;0.497;0.354
COMILLAS;0.89;2273;66.47;0.841;20.25;2.35;0.346;117626.64;331.62;46.67;46.22;11.56;24.49;39.02;211.91;47.19;56.37;85.23;48.05;102.84;16.09;26.26;11.73;194;0.224;0.552;0.224
COLINA;0.27;2724;96.18;0.82;6.54;2.47;0.315;281069.08;109.38;44.9;45.53;15.45;22.95;30.68;148.52;67.33;62.34;70.02;58.13;97.39;9.59;15.93;4.9;77;0.082;0.357;0.562
CIUDAD UNIVERSITARIA;0.02;3470;107.13;0.875;0.57;2.65;0.307;431075.95;11.26;46.01;46.13;12.91;25.3;33.85;196.04;51.01;61.84;89.76;59.24;95.02;9.49;14.81;6.58;159;0.074;0.316;0.61
CIUDAD JARDÍN;0.72;3924;79.11;0.73;19.51;2.35;0.356;221773.04;240.31;45.87;45.29;12.47;23.17;37.5;185.78;53.83;55.39;83.92;43.73;112.48;10.98;18.76;7.27;268;0.098;0.409;0.494
CHOPERA;1.76;3340;68.67;0.819;15.76;2.35;0.345;138885.8;348.09;46.6;45.67;10.83;23.4;39.83;216.12;46.27;52.04;85.75;41.47;132.58;13;23.03;10.04;262;0.166;0.51;0.324
