N_ANNO;DISTRITO;Nombre_Barrio;RATIO_AIRBNB_HECTAREA;PRECIO_M2;SUPERFCIE_M2;RATIO_PUERTA;RATIO_LOCAL_HECTAREA;TAM_HOGAR_MEDIO;RATIO_HOGARES_1PER;HIPOT_MEDIA;DENSIDAD_HAB;EDAD_PROMEDIO;EDAD_MEDIANA;PROPOR_ENVEJECIMIENTO;PROPOR_DESOBREENVEJECIMIENTO;IND_ENVEJECIMIENTO;IND_JUVENTUD;IND_DEPENDENCIA;IND_ESTRUCTURA_POBLA_ACTIVA;RZ_PROGRESIVIDAD_DEMO;PROPOR_EXTRANJEROS;PROPOR_NACIDOS_FUERA_ESPAÑA;PROPOR_INMIG_EXTRANJ;TOTAL_COMPRAVENTA;SIN_ESTUDIOS;CLUSTER_JERAR;CLUSTER_KNN
2018;VILLAVERDE;LOS ROSALES;0.16;1761;68.15;0.862;9.2;2.82;0.217;91723.53;239.98;42.09;43.27;16.75;32.04;105.4;94.88;48.45;74.27;83.17;17.9;27.86;13.71;298;0.263;0;0
2016;VILLAVERDE;LOS ROSALES;0.16;1500;64.07;0.868;9.11;2.82;0.217;84857.87;235.88;41.5;42.52;16.51;29.53;98.44;101.58;49.88;75.79;83.82;16.18;25.35;12.1;194;0.281;0;0
2017;LATINA;LUCERO;0.36;1940;68.31;0.874;8.28;2.52;0.296;110430.63;210.06;45.63;45.64;23.16;41.44;174.51;57.3;57.3;79.2;92.71;14.55;23.8;11.18;387;0.248;0;0
2019;LATINA;LUCERO;0.36;2380;68.81;0.871;8.36;2.55;0.293;131803.87;214.95;45.67;45.78;22.55;42.23;179.31;55.77;54.13;81.16;94.53;16.98;26.74;13.26;377;0.225;0;0
2018;LATINA;LUCERO;0.36;2232;68.83;0.873;8.34;2.54;0.292;129602.16;211.36;45.73;45.87;22.99;42.12;179.06;55.85;55.83;80;93.35;15.55;25.1;11.99;426;0.238;0;0
2016;LATINA;LUCERO;0.36;1734;68.2;0.875;8.27;2.52;0.294;99555.33;210.19;45.62;45.54;23.57;40.51;177;56.5;58.46;79.58;93.78;13.83;22.75;10.57;278;0.26;0;0
2017;MORATALAZ;MARROQUINA;0.06;2269;85.88;0.908;5.68;2.53;0.256;146432.74;152.88;47.65;49.97;26.2;33.47;234.31;42.68;59.7;70.03;90.28;5.27;10.19;3.34;163;0.172;0;0
2019;MORATALAZ;MARROQUINA;0.06;2868;81.78;0.908;5.7;2.52;0.262;161064.93;152.29;48.62;51.11;27.28;35.96;264.76;37.77;60.22;70;92.46;6.19;11.35;4.08;157;0.16;0;0
2018;MORATALAZ;MARROQUINA;0.06;2794;75.8;0.908;5.7;2.53;0.256;154158.48;152.95;48.15;50.63;26.63;34.94;247.45;40.41;59.71;69.52;91.64;5.73;10.69;3.66;147;0.167;0;0
2016;MORATALAZ;MARROQUINA;0.06;2398;82.07;0.908;5.68;2.56;0.25;131406.64;154.16;47.12;49.13;25.67;31.1;222.18;45.01;59.28;70.64;89.73;5.22;9.83;3.31;180;0.178;0;0
